texte;attendu
Ça serait super intéressant d'avoir un épisode sur le logisticien à l'ère de l'IA. Comment l'IA transforme son métier, ses compétences et son quotidien !;idee_video
Gagnez 500€ par jour depuis chez vous, cliquez sur mon profil !!!;spam
Vidéo nulle, tu racontes n'importe quoi sur OpenAI.;critique
Est-ce que NOA existe vraiment ou c'est une fiction ?;question
Merci, super clair comme toujours, j'ai partagé à mes collègues.;compliment
Tu pourrais faire une vidéo sur les IA qui tournent en local sur un PC portable ?;idee_video
Quel micro tu utilises pour ta voix ?;question
Encore une vidéo alarmiste, ras-le-bol de ce catastrophisme.;critique
Incroyable le montage, bravo pour le travail !;compliment
🔥 Crypto x100 garanti, rejoins mon groupe Telegram 🔥;spam
Et pour les infirmières, l'IA va changer quoi concrètement ? Ce serait top d'en parler.;idee_video
La source de ton chiffre sur les 70 % c'est quoi exactement ?;question
Le son est trop fort par rapport à la voix, on n'entend rien.;critique
Je découvre la chaîne, abonné direct !;compliment
Je vends des abonnés YouTube pas chers, contacte-moi en privé;spam
Fais un épisode sur l'IA et les impôts, personne n'en parle.;idee_video
Tu penses que Laya peut remplacer ChatGPT pour trier mes mails ?;question
Trop long, j'ai décroché au bout de deux minutes.;critique
Enfin une chaîne française sérieuse sur l'IA, merci.;compliment
Voir mon profil pour gagner un iPhone 17 gratuit;spam
